crop,score,gdd,gdd_score,water_ratio,water_score,season_tmax,heat_score,season_tmin,frost_score,altitude_m,alt_score
Buğday (kış),0.0,733.0,0.04,0.19,0.0,32.8,1.0,-25.9,0.0,1780,0.55
Mısır (dane),0.0,943.0,0.0,0.06,0.0,37.6,0.84,-9.4,0.0,1780,0.0
Ayçiçeği,0.0,1573.0,0.76,0.06,0.0,37.6,0.74,-9.4,0.0,1780,0.0
Domates,0.0,943.0,0.24,0.05,0.0,37.6,0.84,-3.3,0.0,1780,0.0
Biber,0.0,943.0,0.42,0.05,0.0,37.6,0.84,-3.3,0.0,1780,0.0
Bağ (üzüm),0.0,943.0,0.0,0.07,0.0,37.6,1.0,-9.4,0.0,1780,0.0
Zeytin,0.0,651.0,0.0,0.13,0.0,37.6,1.0,-18.4,0.0,1780,0.0
